Joar;22;25;20;22;16;21
Joel;0;0;4;4;8;14
Johan;142;87;74;99;95;129
Johann;6;4;7;4;5;14
Johannes;75;46;30;44;59;157
John;405;380;358;222;161;111
Johnny;105;153;133;40;28;10
Jomar;5;11;6;0;0;4
Jon;238;297;323;266;205;106
Jonah;0;0;0;0;0;0
Jonas;0;8;20;83;338;507
Jonatan;0;0;0;0;17;46
Jonathan;0;4;9;18;45;111
Jone;0;7;14;18;19;17
Jonn;4;0;0;0;0;0
Jonny;42;77;89;24;12;0
Jorge;0;7;9;11;7;0
Jose;10;20;24;26;14;0
Josef;7;0;4;8;4;13
Joseph;0;8;10;10;10;5
Joshua;0;0;0;6;10;11
Jostein;130;110;104;87;64;50
Jozef;0;16;16;8;4;0
Juan;4;0;16;15;13;6
Julian;0;0;9;5;36;63
Julius;0;0;5;6;10;13
Justin;0;0;6;4;0;4
Jøran;0;12;13;24;22;11
Jørg;0;6;6;0;0;0
Jørgen;52;45;87;198;312;288
Jørn;58;181;210;100;61;21
Jørund;0;6;7;8;4;8
Kaare;12;6;10;0;0;0
Kacper;0;0;0;0;0;27
Kai;85;125;126;81;39;11
Kaj;8;9;10;4;0;0
Kamal;0;0;0;5;4;0
Kamil;0;0;0;18;62;13
Karim;0;0;5;5;6;0
Karl;207;118;117;127;98;74
Karol;0;0;0;22;21;5
Karolis;0;0;0;0;20;0
Karstein;30;13;11;0;0;0
Karsten;48;21;24;17;13;17
Kasper;0;0;0;7;23;94
Kato;5;0;8;0;0;4
Kay;6;15;17;37;16;0
Kazimierz;0;16;7;5;0;0
Ken;0;12;54;33;42;13
Kennet;0;0;12;7;12;7
Kenneth;0;57;254;308;281;43
Kenny;0;0;0;0;6;9
Kent;11;16;70;78;69;12
Kestutis;0;5;6;15;14;0
Ketil;47;86;104;29;16;0
Kevin;0;5;7;28;64;158
Khaled;0;5;13;19;7;6
Khalid;0;8;8;17;4;14
Khalil;0;0;0;6;4;5
Kian;0;0;0;0;0;4
Kim;0;23;45;301;401;96
Kim-Andre;0;0;0;7;28;8
Kjartan;10;17;24;33;16;13
Kjell;900;642;419;171;67;24
Kjetil;33;157;403;302;165;31
Klaus;17;18;18;8;0;0
Knut;668;604;455;226;137;91
Kolbjørn;26;12;5;4;5;0
Konrad;16;5;0;22;12;26
Kornelius;0;0;0;0;0;8
Kristen;22;13;11;6;0;5
Krister;0;0;5;14;29;25
Kristian;53;65;87;356;429;370
Kristoffer;9;8;15;94;427;327
Krystian;0;0;0;12;11;9
Krzysztof;0;31;88;150;37;0
Kurt;43;153;103;32;7;0
Kyrre;20;7;16;17;9;7
Kåre;302;147;87;28;11;4
Lars;322;500;638;566;489;330
Lars-Erik;0;0;21;12;16;4
Lasse;39;49;98;102;163;68
Laurits;5;0;0;0;0;4
Lauritz;0;0;0;0;0;8
Lavrans;0;0;0;0;0;4
Leander;0;0;0;0;0;26
Leif;367;270;193;95;55;24
Leiv;38;21;12;9;0;4
Lennart;0;8;9;13;8;0
Leo;0;10;0;5;12;30
Leon;5;10;6;7;6;48
Leonard;0;0;0;0;0;10
Leonardo;0;0;0;0;0;0
Leszek;0;17;15;19;4;0
Levi;0;0;0;6;10;10
Liam;0;0;0;0;7;22
Liban;0;0;0;5;0;6
Linas;0;0;4;13;7;0
Linus;0;0;0;0;5;16
Loke;0;0;0;0;0;14
Lorentz;0;5;0;0;0;0
Louis;0;0;0;4;0;5
Luca;0;0;0;0;4;6
Lucas;0;0;0;5;0;43
Ludvig;7;5;0;0;8;43
Ludvik;0;0;0;0;7;22
Luis;4;10;8;9;10;7
Luka;0;0;0;0;0;7
Lukas;0;0;0;5;16;64
Lukasz;0;0;0;97;55;5
Lyder;0;0;0;0;0;0
Maciej;0;0;17;35;41;10
Mads;5;10;30;74;155;104
Magnar;84;60;32;14;7;11
Magne;278;167;161;57;45;29
Magnus;33;29;25;234;451;432
Mahad;0;0;0;0;8;10
Mahamed;0;8;5;7;8;10
Mahdi;0;0;6;7;4;12
Mahmoud;0;0;6;12;10;10
Maksymilian;0;0;0;0;0;4
Malik;0;0;4;0;0;6
Malvin;9;10;0;0;0;0
Mantas;0;0;0;10;27;5
Manuel;0;5;9;13;10;4
Marc;0;0;4;8;4;0
Marcel;4;0;0;11;0;8
Marcin;0;0;8;174;57;0
Marco;0;0;9;15;12;13
Marcus;0;0;11;24;70;274
Marek;0;43;54;67;23;0
Marian;0;15;11;16;0;0
Mario;6;0;14;19;5;0
Marius;0;12;54;319;590;436
Mariusz;0;8;39;79;27;0
Mark;5;13;25;12;12;7
