Dag	Måned	År	Temp	Nedbør	Vind
12	apr	2020	5.2	21.1	7.4
13	apr	2020	2.7	8.1	7.7
14	apr	2020	4.7	0.5	3
15	apr	2020	7.4	36.8	4.2
16	apr	2020	5.9	16.6	4.5
17	apr	2020	6.4	0.1	3.3
18	apr	2020	6.9	0	1.7
19	apr	2020	8.7	0	1.9
20	apr	2020	10.7	0	1.7
21	apr	2020	12.8	0	2
22	apr	2020	13.1	0	2
23	apr	2020	9	0	2.9
24	apr	2020	9.7	0	4.5
25	apr	2020	9.2	0	2.3
26	apr	2020	6.4	0	1.8
27	apr	2020	6.3	1.7	1.5
28	apr	2020	7.9	0.8	1.6
29	apr	2020	7.7	7.4	4.2
30	apr	2020	9	2.1	4.6
01	mai	2020	9.1	0.3	1.9
02	mai	2020	8	4.3	2.2
03	mai	2020	7.1	6	3.5
04	mai	2020	6.3	3.5	3.8
05	mai	2020	6.5	0.1	2.5
06	mai	2020	9.1	3.4	3.5
07	mai	2020	7.7	0.3	2.7
08	mai	2020	8.2	1.3	2.6
09	mai	2020	6.9	0.6	2.7
10	mai	2020	5.2	2	6.8
11	mai	2020	4.2	1.1	3.6
12	mai	2020	4	4	4.5
13	mai	2020	4.3	4	3.5
14	mai	2020	5.4	2.2	2.9
15	mai	2020	5.7	6.5	3.6
16	mai	2020	3.7	5.1	3.3
17	mai	2020	6.6	17.6	3.4
18	mai	2020	8.2	2.6	2
19	mai	2020	9.1	0.2	3
20	mai	2020	10.8	0	2
21	mai	2020	14.8	0	3.1
22	mai	2020	14.6	0	6.7
23	mai	2020	11	13.6	6.8
24	mai	2020	10.1	25.9	3.8
25	mai	2020	10.9	7.5	2.6
26	mai	2020	11.3	0.1	3.7
27	mai	2020	10.8	2.6	3.1
28	mai	2020	11.4	0	2.6
29	mai	2020	13.5	0	2
30	mai	2020	17.1	0	2
31	mai	2020	17.8	0	2.5
01	jun	2020	16.3	0	2
02	jun	2020	14.9	0	2.4
03	jun	2020	14.7	0	2.5
04	jun	2020	11.1	2.6	2.3
05	jun	2020	14	6.8	4.7
06	jun	2020	12.1	4.5	2.8
07	jun	2020	11.6	0.5	4
08	jun	2020	12.1	0	4.5
09	jun	2020	12.8	0	2.5
10	jun	2020	13.9	0	2.3
11	jun	2020	20	0	2.8
12	jun	2020	22.8	0	3.5
13	jun	2020	21.1	0	2
14	jun	2020	18.7	0.2	2.4
15	jun	2020	20.3	1.2	2
16	jun	2020	21.3	0	2.4
17	jun	2020	18.2	0	2.4
18	jun	2020	19.4	0	2.2
19	jun	2020	22.4	0	2.2
20	jun	2020	19	0.3	2
21	jun	2020	16.5	3	2.5
22	jun	2020	16.6	6.3	3.1
23	jun	2020	17.6	0.2	4.5
24	jun	2020	19.8	0	3.9
25	jun	2020	20.5	0	1.8
26	jun	2020	22.8	0	2.3
27	jun	2020	23.5	0	2.9
28	jun	2020	18	2.6	3.6
29	jun	2020	16.6	16.6	3.5
30	jun	2020	16.3	0.4	3.1
01	jul	2020	14	1.1	4.2
02	jul	2020	10.4	1.1	2.2
03	jul	2020	10	19.8	1.8
04	jul	2020	13.1	7	1.6
05	jul	2020	12.2	2.3	3.4
06	jul	2020	11.9	49	6.7
07	jul	2020	10.1	6.4	3.4
08	jul	2020	11.8	4.9	3.3
09	jul	2020	12.3	3.3	3.3
10	jul	2020	13.2	0	3.2
11	jul	2020	11.5	4.1	2.3
12	jul	2020	12.5	6.2	3.3
13	jul	2020	13.1	4.6	3.5
14	jul	2020	14.3	10	1.9
15	jul	2020	15.5	6.8	1.8
16	jul	2020	15.9	0.3	3.5
17	jul	2020	14.1	0.6	3.6
18	jul	2020	14.7	30.3	3.5
19	jul	2020	13.6	8.9	2.7
