Dag	Måned	År	Temp	Nedbør	Vind
17	apr	2022	9.6	0.1	6.6
18	apr	2022	10.6	0	8.8
19	apr	2022	10.1	0	5.5
20	apr	2022	11	0	4.5
21	apr	2022	13.8	0	6.4
22	apr	2022	14.4	0	6.4
23	apr	2022	13.1	0	5.1
24	apr	2022	10.9	0	5.9
25	apr	2022	9.2	0	5.8
26	apr	2022	9.8	0	7.9
27	apr	2022	7.2	0	8.1
28	apr	2022	8	0	6.6
29	apr	2022	8.4	1.2	7
30	apr	2022	8.6	1.1	7.8
01	mai	2022	8.3	0	4.9
02	mai	2022	6.8	0.3	9.1
03	mai	2022	7	1.6	8.4
04	mai	2022	6.6	0	8.2
05	mai	2022	8.7	5.1	7.6
06	mai	2022	9.2	1.4	8.5
07	mai	2022	6.9	30	8.3
08	mai	2022	8.2	0.5	7.2
09	mai	2022	0	0	10.2
